Date,Open,High,Low,Close,Adj Close,Volume
2023-07-27,658.0,661.0,654.0,658.0,641.014892578125,4674341
2023-07-28,660.0,666.0,655.0,658.0,641.014892578125,4178929
2023-07-31,691.0,698.0,684.0,690.0,672.1889038085938,16722852
2023-08-01,700.0,715.0,695.0,713.0,694.5951538085938,13914572
2023-08-02,712.0,720.0,704.0,709.0,690.6984252929688,8947248
2023-08-04,710.0,711.0,699.0,706.0,687.77587890625,6732210
2023-08-07,709.0,712.0,703.0,706.0,687.77587890625,3488590
2023-08-08,705.0,705.0,690.0,690.0,672.1889038085938,5604493
2023-08-09,689.0,702.0,686.0,701.0,682.9049072265625,3176525
2023-08-10,702.0,703.0,688.0,693.0,675.1114501953125,4319324
2023-08-11,688.0,689.0,675.0,679.0,661.4728393554688,4857156
2023-08-14,672.0,673.0,666.0,672.0,654.6535034179688,3498430
2023-08-15,682.0,684.0,676.0,678.0,660.4986572265625,2734494
2023-08-16,698.0,698.0,683.0,689.0,671.2146606445312,5944886
2023-08-17,680.0,681.0,673.0,674.0,656.6018676757812,4594977
2023-08-18,670.0,679.0,669.0,674.0,656.6018676757812,3179069
2023-08-21,678.0,679.0,667.0,669.0,651.73095703125,2683227
2023-08-22,675.0,682.0,668.0,672.0,654.6535034179688,3686021
2023-08-23,672.0,676.0,670.0,671.0,653.6793212890625,2048921
2023-08-24,682.0,692.0,680.0,691.0,673.1630859375,5599510
2023-08-25,692.0,695.0,687.0,694.0,676.0856323242188,5624927
2023-08-28,700.0,709.0,698.0,701.0,682.9049072265625,5872295
2023-08-29,714.0,716.0,702.0,710.0,691.672607421875,5186169
2023-08-30,714.0,715.0,702.0,709.0,690.6984252929688,4253988
2023-08-31,705.0,714.0,704.0,705.0,686.8016967773438,5761753
2023-09-01,707.0,712.0,701.0,710.0,691.672607421875,2955148
2023-09-04,713.0,713.0,705.0,711.0,692.6467895507812,2380158
2023-09-05,712.0,718.0,711.0,718.0,699.4661254882812,4791289
2023-09-06,721.0,722.0,712.0,712.0,693.6209716796875,3074614
2023-09-07,709.0,718.0,708.0,717.0,698.491943359375,3205892
2023-09-08,705.0,710.0,701.0,709.0,690.6984252929688,4421983
2023-09-11,715.0,715.0,708.0,714.0,695.5693359375,2101421
2023-09-12,710.0,729.0,709.0,728.0,709.2079467773438,6513877
2023-09-13,739.0,744.0,729.0,732.0,713.104736328125,9197173
2023-09-14,735.0,735.0,725.0,733.0,714.0789184570312,5527046
2023-09-15,741.0,763.0,737.0,763.0,743.3045043945312,16255632
2023-09-18,751.0,792.0,750.0,782.0,761.8140869140625,11994826
2023-09-19,782.0,782.0,764.0,773.0,753.04638671875,6244891
2023-09-20,765.0,766.0,751.0,759.0,739.4077758789062,5042205
2023-09-21,752.0,762.0,744.0,746.0,726.7433471679688,5034920
2023-09-22,735.0,748.0,728.0,746.0,726.7433471679688,7559485
2023-09-25,741.0,762.0,741.0,755.0,735.5110473632812,4563725
2023-09-26,748.0,755.0,736.0,737.0,717.9756469726562,3845914
2023-09-27,728.0,737.0,728.0,737.0,717.9756469726562,3824756
2023-09-28,739.0,741.0,730.0,735.0,716.0272827148438,3769234
2023-10-02,747.0,748.0,740.0,745.0,725.7691650390625,3898779
2023-10-03,767.0,784.0,766.0,772.0,752.0722045898438,10288796
2023-10-04,771.0,783.0,764.0,780.0,759.8656616210938,7599174
2023-10-05,783.0,786.0,776.0,786.0,765.7108154296875,5604602
2023-10-06,790.0,790.0,781.0,786.0,765.7108154296875,2927223
2023-10-11,790.0,816.0,790.0,814.0,792.988037109375,12439451
2023-10-12,817.0,819.0,805.0,815.0,793.9622192382812,6769337
2023-10-13,820.0,842.0,818.0,842.0,820.2652587890625,9828945
2023-10-16,838.0,849.0,832.0,840.0,818.31689453125,5765614
2023-10-17,845.0,854.0,820.0,825.0,803.7041015625,8242227
2023-10-18,800.0,822.0,800.0,813.0,792.0138549804688,7594780
2023-10-19,811.0,838.0,811.0,830.0,808.5750122070312,7509749
2023-10-20,831.0,837.0,812.0,828.0,806.6266479492188,8501964
2023-10-23,825.0,829.0,816.0,821.0,799.807373046875,5304563
2023-10-24,821.0,823.0,804.0,816.0,794.9364013671875,5036466
2023-10-25,818.0,832.0,816.0,822.0,800.7815551757812,6474280
2023-10-26,815.0,817.0,811.0,817.0,795.9105834960938,5446904
2023-10-27,824.0,824.0,800.0,801.0,780.3236083984375,6956960
2023-10-30,819.0,864.0,818.0,857.0,834.8780517578125,16172619
2023-10-31,860.0,861.0,834.0,842.0,820.2652587890625,10786996
2023-11-01,854.0,856.0,832.0,846.0,824.1619873046875,6856015
2023-11-02,863.0,877.0,855.0,868.0,845.5941162109375,9692237
2023-11-03,872.0,876.0,864.0,870.0,847.54248046875,5567970
2023-11-06,879.0,890.0,873.0,882.0,859.2327270507812,7264020
2023-11-07,890.0,899.0,879.0,888.0,865.077880859375,7077114
