Date,Open,High,Low,Close,Adj Close,Volume
2023-07-27,164.0,169.0,163.0,166.0,166.0,3539000
2023-07-28,166.5,170.0,163.5,166.5,166.5,5362000
2023-07-31,169.0,169.5,163.0,164.0,164.0,6224000
2023-08-01,155.0,158.0,149.0,150.0,150.0,15933000
2023-08-02,148.5,154.0,148.5,153.0,153.0,6367000
2023-08-04,150.0,157.0,150.0,154.5,154.5,4940000
2023-08-07,154.5,156.0,151.5,152.0,152.0,2574000
2023-08-08,151.5,152.0,149.0,151.0,151.0,3820000
2023-08-09,150.5,153.0,150.0,151.5,151.5,2432000
2023-08-10,150.5,151.0,148.0,150.5,150.5,2834000
2023-08-11,144.0,147.0,142.0,143.5,143.5,7854000
2023-08-14,141.0,141.5,137.0,138.5,138.5,4369000
2023-08-15,139.0,140.0,135.0,135.0,135.0,5834000
2023-08-16,132.0,137.5,131.0,135.5,135.5,5720000
2023-08-17,133.0,133.0,129.0,130.0,130.0,9915000
2023-08-18,131.0,133.5,130.5,132.0,132.0,3866000
2023-08-21,133.0,133.5,128.5,129.0,129.0,3975000
2023-08-22,130.0,131.0,128.0,128.5,128.5,4497000
2023-08-23,128.5,129.5,126.5,128.5,128.5,4137000
2023-08-24,130.5,131.5,127.5,129.5,129.5,4433000
2023-08-25,128.5,129.5,126.0,128.0,128.0,3859000
2023-08-28,129.0,132.0,128.5,129.5,129.5,2960000
2023-08-29,130.0,132.0,129.0,131.0,131.0,3785000
2023-08-30,132.0,137.0,132.0,134.0,134.0,5843000
2023-08-31,133.5,136.5,132.0,136.0,136.0,33020000
2023-09-01,137.0,146.0,135.5,140.5,140.5,9276000
2023-09-04,141.0,146.0,139.0,144.0,144.0,7800000
2023-09-05,144.0,146.0,141.0,143.0,143.0,5934000
2023-09-06,144.0,145.0,142.0,143.5,143.5,3282000
2023-09-07,145.5,148.0,141.5,143.0,143.0,7100000
2023-09-08,143.0,143.0,138.0,138.0,138.0,4977000
2023-09-11,139.5,143.0,136.5,137.5,137.5,3350000
2023-09-12,138.0,141.0,137.5,139.5,139.5,2956000
2023-09-13,140.0,141.0,138.0,139.0,139.0,2202000
2023-09-14,141.0,142.5,140.0,142.5,142.5,2037000
2023-09-15,142.0,148.0,141.5,145.5,145.5,6253000
2023-09-18,146.5,148.0,143.5,144.0,144.0,4615000
2023-09-19,145.0,145.5,140.0,140.0,140.0,2955000
2023-09-20,142.0,143.5,139.5,139.5,139.5,2120000
2023-09-21,138.5,139.5,135.0,135.0,135.0,3575000
2023-09-22,134.0,137.5,132.5,136.0,136.0,2019000
2023-09-25,136.5,137.0,135.0,135.5,135.5,1133000
2023-09-26,135.0,136.0,132.0,132.0,132.0,2090000
2023-09-27,130.5,133.0,129.5,130.5,130.5,3073000
2023-09-28,130.5,131.0,128.0,129.0,129.0,5126000
2023-10-02,131.0,135.0,130.0,134.5,134.5,4350000
2023-10-03,135.0,136.0,132.5,132.5,132.5,3923000
2023-10-04,131.0,135.0,131.0,134.5,134.5,3459000
2023-10-05,133.5,135.5,133.5,135.0,135.0,2813000
2023-10-06,136.5,138.0,134.5,134.5,134.5,4245000
2023-10-11,136.5,137.0,132.5,133.0,133.0,2358000
2023-10-12,134.0,135.0,133.0,134.5,134.5,2215000
2023-10-13,135.0,137.0,132.5,137.0,137.0,3569000
2023-10-16,137.0,140.5,135.0,138.0,138.0,6410000
2023-10-17,140.0,141.5,138.5,139.0,139.0,5576000
2023-10-18,139.0,139.5,134.0,134.0,134.0,5133000
2023-10-19,133.0,133.5,129.0,130.5,130.5,4526000
2023-10-20,129.5,130.0,125.5,126.5,126.5,4966000
2023-10-23,125.5,128.0,123.5,125.5,125.5,2510000
2023-10-24,126.0,127.5,124.5,127.0,127.0,1684000
2023-10-25,128.0,129.5,127.0,127.5,127.5,2212000
2023-10-26,125.5,125.5,121.0,121.0,121.0,4882000
2023-10-27,122.0,129.0,122.0,127.5,127.5,8279000
2023-10-30,140.0,140.0,140.0,140.0,140.0,5868000
2023-10-31,142.0,152.5,139.0,145.0,145.0,50346000
2023-11-01,148.0,150.0,146.0,147.0,147.0,18248000
2023-11-02,147.5,150.0,144.0,149.5,149.5,10641000
2023-11-03,151.5,156.5,150.0,150.5,150.5,15232000
2023-11-06,154.0,156.0,152.5,155.0,155.0,7558000
2023-11-07,158.0,158.0,152.5,153.0,153.0,8869000
2023-11-08,153.5,155.0,152.0,152.0,152.0,4562000
2023-11-09,153.0,156.0,151.5,154.5,154.5,5537000
2023-11-10,155.0,157.0,151.5,156.5,156.5,7118000
2023-11-13,158.5,159.0,150.5,152.0,152.0,12089000
2023-11-14,153.0,155.0,150.0,154.0,154.0,6010000
2023-11-15,155.0,156.5,154.0,154.5,154.5,5529000
2023-11-16,155.5,156.5,153.0,153.5,153.5,2238000
2023-11-17,154.5,155.0,151.0,152.5,152.5,3459000
2023-11-20,153.0,156.0,151.5,152.0,152.0,3623000
2023-11-21,153.0,153.5,151.0,153.0,153.0,2978000
2023-11-22,153.5,154.5,150.5,151.5,151.5,3520000
2023-11-23,153.5,162.0,152.0,159.0,159.0,18328000
2023-11-24,161.0,170.0,157.0,167.0,167.0,23259000
2023-11-27,167.0,167.5,155.0,157.0,157.0,13960000
2023-11-28,158.5,164.0,157.0,163.5,163.5,6679000
2023-11-29,163.5,169.5,163.5,168.0,168.0,7886000
2023-11-30,168.5,173.5,166.0,172.0,172.0,14225000
2023-12-01,171.0,172.0,167.5,167.5,167.5,4546000
2023-12-04,172.0,177.5,168.0,169.5,169.5,10274000
2023-12-05,170.0,174.5,166.5,171.5,171.5,10343000
2023-12-06,172.0,173.0,168.5,170.0,170.0,4476000
2023-12-07,170.5,171.5,165.5,166.0,166.0,5265000
2023-12-08,168.0,170.0,167.0,167.5,167.5,4136000
2023-12-11,168.5,169.0,165.5,166.0,166.0,3496000
2023-12-12,168.0,169.0,166.5,167.0,167.0,2784000
2023-12-13,167.5,167.5,165.0,167.0,167.0,2712000
2023-12-14,169.0,171.0,168.0,169.0,169.0,3364000
2023-12-15,171.0,172.0,168.0,170.0,170.0,6625000
2023-12-18,169.5,169.5,161.5,161.5,161.5,5849000
2023-12-19,160.5,161.0,153.0,153.5,153.5,8915000
2023-12-20,153.0,156.0,152.5,153.5,153.5,3767000
2023-12-21,152.0,154.5,150.0,152.0,152.0,2828000
2023-12-22,152.5,156.0,152.5,154.5,154.5,2420000
2023-12-25,155.0,159.0,155.0,157.5,157.5,2790000
2023-12-26,158.0,159.0,156.5,158.5,158.5,1916000
2023-12-27,159.5,160.5,157.5,159.5,159.5,1683000
2023-12-28,160.0,160.0,156.5,157.5,157.5,2122000
2023-12-29,157.5,159.5,157.5,159.0,159.0,1217000
2024-01-02,159.0,159.0,156.0,156.0,156.0,1258000
2024-01-03,154.0,154.0,148.0,148.0,148.0,6586000
2024-01-04,148.0,150.5,144.0,146.0,146.0,5827000
2024-01-05,147.5,149.0,146.5,148.0,148.0,1822000
2024-01-08,149.0,154.0,149.0,149.5,149.5,3758000
2024-01-09,151.5,152.5,148.0,149.0,149.0,1733000
2024-01-10,148.5,149.5,147.0,148.0,148.0,1016000
2024-01-11,148.5,152.0,146.5,150.5,150.5,2029000
2024-01-12,149.5,152.0,149.0,151.0,151.0,1528000
2024-01-15,151.0,152.0,149.5,151.0,151.0,1400877
2024-01-16,150.0,153.0,149.5,152.5,152.5,2074000
2024-01-17,152.0,153.0,146.0,146.0,146.0,3631000
2024-01-18,146.0,148.0,144.5,145.5,145.5,1580000
2024-01-19,147.5,151.5,147.5,150.5,150.5,2275000
2024-01-22,152.0,152.0,149.0,151.0,151.0,1946000
2024-01-23,151.5,151.5,149.5,151.0,151.0,1739000
2024-01-24,150.5,155.5,150.5,154.5,154.5,3478000
2024-01-25,154.0,155.0,151.0,151.0,151.0,2231000
2024-01-26,150.5,155.5,150.5,154.5,154.5,2962000
2024-01-29,155.0,158.0,154.0,155.5,155.5,3200000
2024-01-30,155.0,157.0,152.0,156.0,156.0,3764000
2024-01-31,153.5,159.0,153.5,155.0,155.0,3288000
2024-02-01,156.0,156.0,152.5,152.5,152.5,1792000
2024-02-02,155.0,158.5,153.0,158.5,158.5,4306000
2024-02-05,159.5,162.0,157.5,159.5,159.5,4150000
2024-02-15,160.5,161.0,155.5,156.0,156.0,7581000
2024-02-16,158.0,158.0,156.5,157.5,157.5,2256000
2024-02-19,159.5,166.0,158.0,160.5,160.5,8846000
2024-02-20,160.5,163.0,159.0,161.0,161.0,4426000
2024-02-21,161.5,164.5,160.0,161.0,161.0,4684000
2024-02-22,163.0,163.5,160.5,162.5,162.5,4144000
2024-02-23,162.5,163.5,158.0,158.0,158.0,3623000
2024-02-26,158.0,159.5,155.5,157.0,157.0,2651000
2024-02-27,157.0,158.0,152.0,152.0,152.0,3267000
2024-02-29,153.0,154.5,151.0,152.0,152.0,2638000
2024-03-01,152.5,156.5,152.5,155.5,155.5,2622000
2024-03-04,156.5,158.0,155.5,156.0,156.0,2124000
2024-03-05,158.0,161.0,154.0,155.0,155.0,6467000
2024-03-06,154.0,154.5,152.0,152.5,152.5,3076000
2024-03-07,155.0,161.0,153.5,156.5,156.5,8901000
2024-03-08,157.0,159.0,152.0,153.0,153.0,4692000
2024-03-11,153.0,157.0,152.0,153.0,153.0,3639000
2024-03-12,152.5,154.0,149.5,153.0,153.0,4249000
2024-03-13,154.0,154.0,147.0,147.5,147.5,5002000
2024-03-14,147.0,148.5,145.5,145.5,145.5,2990000
2024-03-15,145.5,147.0,143.0,145.5,145.5,4866000
2024-03-18,145.5,145.5,145.5,145.5,145.5,0
2024-03-19,149.5,157.0,149.0,157.0,157.0,6888000
2024-03-20,156.5,157.0,152.5,153.0,153.0,3133000
2024-03-21,155.5,156.0,153.0,154.5,154.5,1846000
2024-03-22,154.5,154.5,151.5,153.5,153.5,3189000
