Date,Open,High,Low,Close,Adj Close,Volume
2023-07-27,1060.0,1060.0,1041.0,1049.5,1047.6131591796875,360184
2023-07-28,1050.0,1058.5,1034.5,1055.5,1053.6025390625,129718
2023-07-31,1058.0,1058.0,1043.0,1048.5,1046.614990234375,135764
2023-08-01,1057.0,1075.5,1049.0,1067.5,1065.5809326171875,135157
2023-08-02,1056.0,1081.5,1051.0,1072.5,1070.5718994140625,182498
2023-08-03,1074.5,1081.5,1052.0,1080.0,1078.058349609375,258772
2023-08-04,1081.0,1084.0,1061.0,1068.0,1066.0799560546875,54457
2023-08-07,1059.5,1074.0,1057.0,1073.5,1071.570068359375,107358
2023-08-08,1062.0,1076.5,1054.5,1064.0,1062.087158203125,154100
2023-08-09,1068.5,1073.0,1052.0,1054.5,1052.604248046875,72662
2023-08-10,1054.5,1059.5,1038.5,1041.0,1039.1285400390625,91173
2023-08-11,1041.0,1041.0,1020.5,1021.0,1019.1644897460938,89419
2023-08-14,1006.0,1013.0,997.0,1002.0,1000.1986083984375,125149
2023-08-15,1016.0,1025.0,1006.0,1013.0,1011.1788330078125,128961
2023-08-16,1005.5,1012.0,1001.0,1008.5,1006.6868896484375,91661
2023-08-17,1005.0,1010.0,993.4000244140625,1007.0,1005.1896362304688,101935
2023-08-18,1004.0,1019.0,997.2000122070312,1019.0,1017.1680908203125,147704
2023-08-21,1019.0,1039.5,1018.0,1033.0,1031.142822265625,102095
2023-08-22,1034.0,1034.0,1024.0,1030.0,1028.148193359375,53844
2023-08-23,1026.0,1039.5,1022.5,1030.0,1028.148193359375,130473
2023-08-24,1034.0,1038.5,1028.0,1030.0,1028.148193359375,75835
2023-08-25,1025.0,1037.0,1018.5,1031.5,1029.6456298828125,96679
2023-08-28,1035.0,1050.0,1032.0,1047.5,1045.6168212890625,99752
2023-08-29,1041.5,1055.0,1040.5,1055.0,1053.103271484375,77078
2023-08-30,1057.0,1063.0,1048.0,1056.5,1054.6005859375,109140
2023-08-31,1057.5,1074.5,1057.5,1071.5,1069.5736083984375,234120
2023-09-01,1071.5,1080.0,1045.5,1074.0,1072.0692138671875,296728
2023-09-04,1080.5,1083.0,1073.0,1074.5,1072.5682373046875,63838
2023-09-05,1072.5,1093.0,1068.5,1087.5,1085.544921875,250844
