Date,Open,High,Low,Close,Adj Close,Volume
2023-07-27,487.6000061035156,500.3999938964844,487.20001220703125,496.6000061035156,496.6000061035156,114494
2023-07-28,494.20001220703125,496.3999938964844,489.0,495.20001220703125,495.20001220703125,56818
2023-07-31,494.0,496.70001220703125,491.5,493.3999938964844,493.3999938964844,56804
2023-08-02,482.20001220703125,489.70001220703125,481.0,485.70001220703125,485.70001220703125,102734
2023-08-03,484.0,487.29998779296875,480.0,484.1000061035156,484.1000061035156,53264
2023-08-04,483.70001220703125,492.1000061035156,478.79998779296875,492.1000061035156,492.1000061035156,76272
2023-08-07,489.70001220703125,492.8999938964844,486.5,490.6000061035156,490.6000061035156,55085
2023-08-08,488.5,491.3999938964844,482.29998779296875,482.8999938964844,482.8999938964844,49089
2023-08-09,486.3999938964844,488.29998779296875,481.6000061035156,481.8999938964844,481.8999938964844,81433
2023-08-10,483.0,486.20001220703125,477.8999938964844,483.70001220703125,483.70001220703125,60000
2023-08-11,480.8999938964844,481.6000061035156,472.5,474.29998779296875,474.29998779296875,66861
2023-08-14,472.29998779296875,479.3999938964844,472.29998779296875,476.70001220703125,476.70001220703125,51499
2023-08-15,474.20001220703125,477.79998779296875,469.3999938964844,470.70001220703125,470.70001220703125,64707
2023-08-16,470.0,472.3999938964844,466.3999938964844,467.70001220703125,467.70001220703125,137803
2023-08-17,453.70001220703125,460.6000061035156,441.29998779296875,441.5,441.5,235898
2023-08-18,437.3999938964844,444.20001220703125,433.5,442.79998779296875,442.79998779296875,167634
2023-08-21,440.1000061035156,443.5,439.79998779296875,441.3999938964844,441.3999938964844,95012
2023-08-22,442.3999938964844,445.5,440.8999938964844,442.8999938964844,442.8999938964844,78571
2023-08-23,443.70001220703125,446.6000061035156,443.20001220703125,444.79998779296875,444.79998779296875,61866
2023-08-24,448.5,450.5,442.8999938964844,444.79998779296875,444.79998779296875,119311
2023-08-25,441.8999938964844,445.5,440.20001220703125,443.20001220703125,443.20001220703125,86311
2023-08-28,445.20001220703125,449.8999938964844,445.1000061035156,448.29998779296875,448.29998779296875,67939
2023-08-29,449.1000061035156,453.20001220703125,445.3999938964844,451.70001220703125,451.70001220703125,63138
2023-08-30,452.3999938964844,454.0,448.3999938964844,453.79998779296875,453.79998779296875,57492
2023-08-31,456.1000061035156,459.70001220703125,455.0,458.6000061035156,458.6000061035156,135428
