Date,Open,High,Low,Close,Adj Close,Volume
2023-07-26,62.099998474121094,62.79999923706055,61.93000030517578,62.7599983215332,62.7599983215332,971600
2023-07-27,62.900001525878906,63.25,61.400001525878906,61.45000076293945,61.45000076293945,1343600
2023-07-28,59.0,59.2400016784668,57.02000045776367,57.25,57.25,3862800
2023-07-31,57.380001068115234,58.540000915527344,57.34000015258789,58.25,58.25,1874700
2023-08-01,58.0,58.41999816894531,57.86000061035156,58.209999084472656,58.209999084472656,1282500
2023-08-02,57.70000076293945,57.70000076293945,56.130001068115234,56.66999816894531,56.66999816894531,1625600
2023-08-03,56.43000030517578,56.75,55.9900016784668,56.63999938964844,56.63999938964844,986900
2023-08-04,56.68000030517578,57.25,56.33000183105469,56.779998779296875,56.779998779296875,1003300
2023-08-07,56.83000183105469,57.25,56.7400016784668,57.209999084472656,57.209999084472656,791300
2023-08-08,56.459999084472656,56.56999969482422,55.15999984741211,56.0,56.0,1780200
2023-08-09,55.900001525878906,56.58000183105469,55.81999969482422,56.11000061035156,56.11000061035156,757500
2023-08-10,56.18000030517578,56.66999816894531,55.959999084472656,56.15999984741211,56.15999984741211,726000
2023-08-11,55.849998474121094,56.220001220703125,55.7400016784668,56.09000015258789,56.09000015258789,550300
2023-08-14,56.0099983215332,56.779998779296875,55.95000076293945,56.400001525878906,56.400001525878906,816500
2023-08-15,56.13999938964844,56.38999938964844,55.650001525878906,56.290000915527344,56.290000915527344,1017800
2023-08-16,56.130001068115234,56.52000045776367,55.72999954223633,55.7599983215332,55.7599983215332,993500
2023-08-17,55.869998931884766,55.939998626708984,54.560001373291016,54.650001525878906,54.650001525878906,1263500
2023-08-18,54.58000183105469,55.20000076293945,54.33000183105469,55.04999923706055,55.04999923706055,850700
2023-08-21,55.04999923706055,55.22999954223633,54.61000061035156,55.06999969482422,55.06999969482422,960800
2023-08-22,55.91999816894531,56.220001220703125,55.459999084472656,55.58000183105469,55.58000183105469,1908300
2023-08-23,55.560001373291016,55.88999938964844,55.29999923706055,55.849998474121094,55.849998474121094,827400
2023-08-24,55.7400016784668,56.52000045776367,55.209999084472656,55.36000061035156,55.36000061035156,675300
2023-08-25,55.5099983215332,56.119998931884766,55.459999084472656,55.88999938964844,55.88999938964844,563200
2023-08-28,56.11000061035156,56.88999938964844,56.11000061035156,56.47999954223633,56.47999954223633,542700
2023-08-29,56.33000183105469,56.869998931884766,56.15999984741211,56.779998779296875,56.779998779296875,865200
2023-08-30,56.83000183105469,57.84000015258789,56.83000183105469,57.7400016784668,57.7400016784668,783500
2023-08-31,57.529998779296875,57.97999954223633,57.310001373291016,57.41999816894531,57.41999816894531,969100
2023-09-01,57.79999923706055,58.09000015258789,57.439998626708984,57.529998779296875,57.529998779296875,701100
2023-09-05,57.16999816894531,57.5099983215332,56.119998931884766,56.220001220703125,56.220001220703125,677000
2023-09-06,56.11000061035156,56.31999969482422,55.81999969482422,55.90999984741211,55.90999984741211,738500
2023-09-07,55.66999816894531,55.88999938964844,55.15999984741211,55.380001068115234,55.380001068115234,1030700
2023-09-08,55.2599983215332,55.900001525878906,55.2599983215332,55.72999954223633,55.72999954223633,929500
2023-09-11,56.08000183105469,56.189998626708984,55.36000061035156,55.40999984741211,55.40999984741211,668400
2023-09-12,56.31999969482422,56.31999969482422,54.939998626708984,54.939998626708984,54.939998626708984,596500
2023-09-13,55.119998931884766,55.33000183105469,54.43000030517578,54.650001525878906,54.650001525878906,818300
2023-09-14,55.09000015258789,55.540000915527344,54.84000015258789,55.5,55.5,1292400
2023-09-15,55.22999954223633,55.650001525878906,55.040000915527344,55.369998931884766,55.369998931884766,1275900
2023-09-18,55.310001373291016,55.619998931884766,55.0,55.5,55.5,569000
2023-09-19,55.43000030517578,55.56999969482422,54.91999816894531,55.31999969482422,55.31999969482422,899900
2023-09-20,55.54999923706055,55.689998626708984,54.59000015258789,54.720001220703125,54.720001220703125,2009700
2023-09-21,54.529998779296875,54.529998779296875,53.369998931884766,53.439998626708984,53.439998626708984,952700
2023-09-22,53.439998626708984,54.150001525878906,53.380001068115234,53.81999969482422,53.81999969482422,952900
2023-09-25,53.599998474121094,53.86000061035156,53.29999923706055,53.779998779296875,53.779998779296875,580300
2023-09-26,53.34000015258789,53.77000045776367,52.72999954223633,52.77000045776367,52.77000045776367,994600
2023-09-27,53.02000045776367,53.130001068115234,52.369998931884766,52.599998474121094,52.599998474121094,823100
2023-09-28,52.400001525878906,52.970001220703125,52.189998626708984,52.779998779296875,52.779998779296875,811200
2023-09-29,53.029998779296875,53.310001373291016,52.45000076293945,52.540000915527344,52.540000915527344,719700
2023-10-02,52.459999084472656,52.61000061035156,51.849998474121094,52.11000061035156,52.11000061035156,700600
2023-10-03,51.790000915527344,51.959999084472656,51.119998931884766,51.599998474121094,51.599998474121094,1099500
2023-10-04,51.75,51.959999084472656,51.18000030517578,51.869998931884766,51.869998931884766,1062900
2023-10-05,51.779998779296875,51.970001220703125,51.27000045776367,51.45000076293945,51.45000076293945,964300
2023-10-06,51.189998626708984,52.470001220703125,51.189998626708984,52.11000061035156,52.11000061035156,790800
2023-10-09,51.790000915527344,52.34000015258789,51.619998931884766,52.25,52.25,484300
2023-10-10,52.400001525878906,53.0,52.29999923706055,52.630001068115234,52.630001068115234,512400
2023-10-11,52.709999084472656,53.099998474121094,52.52000045776367,52.7599983215332,52.7599983215332,567200
2023-10-12,52.709999084472656,52.709999084472656,51.59000015258789,51.790000915527344,51.790000915527344,669300
2023-10-13,52.0099983215332,52.0099983215332,50.95000076293945,51.119998931884766,51.119998931884766,1094900
2023-10-16,51.560001373291016,52.209999084472656,51.40999984741211,51.849998474121094,51.849998474121094,668200
2023-10-17,51.540000915527344,52.720001220703125,51.459999084472656,52.22999954223633,52.22999954223633,1221700
2023-10-18,51.79999923706055,51.939998626708984,50.77000045776367,50.86000061035156,50.86000061035156,887200
2023-10-19,50.869998931884766,51.47999954223633,50.43000030517578,50.779998779296875,50.779998779296875,1168100
2023-10-20,50.779998779296875,50.91999816894531,50.02000045776367,50.08000183105469,50.08000183105469,772900
2023-10-23,49.90999984741211,50.529998779296875,49.72999954223633,49.75,49.75,720400
2023-10-24,50.04999923706055,50.38999938964844,49.630001068115234,49.83000183105469,49.83000183105469,977700
2023-10-25,49.380001068115234,49.72999954223633,49.11000061035156,49.36000061035156,49.36000061035156,1181800
2023-10-26,49.220001220703125,49.84000015258789,49.20000076293945,49.439998626708984,49.439998626708984,1339500
2023-10-27,46.66999816894531,49.86000061035156,46.61000061035156,48.709999084472656,48.709999084472656,2003100
2023-10-30,49.150001525878906,50.08000183105469,48.650001525878906,50.02000045776367,50.02000045776367,1551600
2023-10-31,50.189998626708984,50.529998779296875,49.66999816894531,50.25,50.25,2244600
2023-11-01,50.150001525878906,50.290000915527344,48.81999969482422,49.189998626708984,49.189998626708984,1921500
2023-11-02,49.56999969482422,51.310001373291016,49.52000045776367,51.15999984741211,51.15999984741211,1486300
2023-11-03,51.66999816894531,52.77000045776367,51.66999816894531,52.459999084472656,52.459999084472656,929700
2023-11-06,52.470001220703125,52.68000030517578,51.720001220703125,52.630001068115234,52.630001068115234,1175500
2023-11-07,52.75,53.369998931884766,52.56999969482422,53.02000045776367,53.02000045776367,1301400
2023-11-08,53.040000915527344,53.220001220703125,52.11000061035156,52.400001525878906,52.400001525878906,1582600
2023-11-09,52.709999084472656,52.709999084472656,51.970001220703125,52.040000915527344,52.040000915527344,1001400
2023-11-10,52.13999938964844,52.79999923706055,51.91999816894531,52.790000915527344,52.790000915527344,796800
2023-11-13,52.470001220703125,52.77000045776367,52.369998931884766,52.470001220703125,52.470001220703125,1288800
2023-11-14,53.56999969482422,54.59000015258789,53.459999084472656,54.400001525878906,54.400001525878906,1292500
2023-11-15,54.5,55.349998474121094,54.400001525878906,55.18000030517578,55.18000030517578,1183100
2023-11-16,55.029998779296875,55.45000076293945,54.439998626708984,54.7599983215332,54.7599983215332,1463100
2023-11-17,54.91999816894531,55.02000045776367,54.560001373291016,55.0,55.0,1071800
2023-11-20,54.95000076293945,55.38999938964844,54.75,55.119998931884766,55.119998931884766,1089800
2023-11-21,54.9900016784668,55.119998931884766,54.79999923706055,54.970001220703125,54.970001220703125,887700
2023-11-22,55.209999084472656,55.90999984741211,55.20000076293945,55.619998931884766,55.619998931884766,880800
2023-11-24,55.529998779296875,56.0,55.33000183105469,55.84000015258789,55.84000015258789,418600
2023-11-27,55.540000915527344,56.09000015258789,55.45000076293945,55.95000076293945,55.95000076293945,1363400
2023-11-28,55.810001373291016,56.2599983215332,55.56999969482422,56.18000030517578,56.18000030517578,1386000
2023-11-29,56.5,56.91999816894531,55.91999816894531,56.0,56.0,1097900
2023-11-30,55.900001525878906,56.29999923706055,55.630001068115234,56.2599983215332,56.2599983215332,2544500
2023-12-01,56.09000015258789,57.72999954223633,55.88999938964844,57.66999816894531,57.66999816894531,2189900
2023-12-04,57.2599983215332,57.459999084472656,56.689998626708984,57.099998474121094,57.099998474121094,1290500
2023-12-05,56.70000076293945,56.70000076293945,56.099998474121094,56.439998626708984,56.439998626708984,1147800
2023-12-06,56.91999816894531,57.41999816894531,56.77000045776367,57.060001373291016,57.060001373291016,1145200
2023-12-07,57.09000015258789,57.11000061035156,56.619998931884766,56.88999938964844,56.88999938964844,886000
2023-12-08,56.7400016784668,57.220001220703125,56.63999938964844,57.11000061035156,57.11000061035156,678400
2023-12-11,57.22999954223633,58.2400016784668,57.22999954223633,57.88999938964844,57.88999938964844,992700
2023-12-12,57.88999938964844,58.4900016784668,57.529998779296875,58.27000045776367,58.27000045776367,654300
2023-12-13,58.16999816894531,59.869998931884766,58.13999938964844,59.77000045776367,59.77000045776367,1825200
2023-12-14,60.0,61.150001525878906,59.779998779296875,60.619998931884766,60.619998931884766,2019100
2023-12-15,60.65999984741211,60.70000076293945,59.79999923706055,60.150001525878906,60.150001525878906,1751600
2023-12-18,60.2599983215332,60.310001373291016,59.599998474121094,60.27000045776367,60.27000045776367,1129300
2023-12-19,60.369998931884766,60.720001220703125,60.369998931884766,60.61000061035156,60.61000061035156,1156300
2023-12-20,60.41999816894531,61.0099983215332,59.599998474121094,59.619998931884766,59.619998931884766,723500
2023-12-21,60.13999938964844,60.369998931884766,59.900001525878906,60.310001373291016,60.310001373291016,690600
2023-12-22,60.400001525878906,60.880001068115234,60.2400016784668,60.709999084472656,60.709999084472656,804400
2023-12-26,60.88999938964844,61.31999969482422,60.70000076293945,61.189998626708984,61.189998626708984,541200
2023-12-27,61.04999923706055,61.5099983215332,60.060001373291016,61.220001220703125,61.220001220703125,960500
2023-12-28,61.220001220703125,61.59000015258789,61.119998931884766,61.290000915527344,61.290000915527344,644200
2023-12-29,61.11000061035156,61.400001525878906,60.93000030517578,61.11000061035156,61.11000061035156,533500
2024-01-02,60.54999923706055,60.93000030517578,60.099998474121094,60.41999816894531,60.41999816894531,1047700
2024-01-03,60.0099983215332,60.0099983215332,59.08000183105469,59.34000015258789,59.34000015258789,1296600
2024-01-04,59.209999084472656,59.849998474121094,58.959999084472656,59.369998931884766,59.369998931884766,739100
2024-01-05,59.150001525878906,60.380001068115234,58.790000915527344,59.81999969482422,59.81999969482422,1202600
2024-01-08,59.869998931884766,60.97999954223633,59.869998931884766,60.959999084472656,60.959999084472656,578200
2024-01-09,60.47999954223633,60.790000915527344,60.040000915527344,60.20000076293945,60.20000076293945,964100
2024-01-10,60.189998626708984,60.84000015258789,60.13999938964844,60.66999816894531,60.66999816894531,554400
2024-01-11,60.52000045776367,60.66999816894531,59.900001525878906,60.130001068115234,60.130001068115234,1017500
2024-01-12,60.470001220703125,60.66999816894531,60.0,60.20000076293945,60.20000076293945,699000
2024-01-16,59.599998474121094,59.869998931884766,59.25,59.84000015258789,59.84000015258789,823600
2024-01-17,59.209999084472656,59.790000915527344,59.18000030517578,59.380001068115234,59.380001068115234,621400
2024-01-18,59.56999969482422,60.0,59.20000076293945,59.91999816894531,59.91999816894531,670500
2024-01-19,60.0,60.70000076293945,59.77000045776367,60.52000045776367,60.52000045776367,996800
2024-01-22,60.77000045776367,61.70000076293945,60.66999816894531,61.66999816894531,61.66999816894531,1481500
2024-01-23,61.79999923706055,61.9900016784668,61.279998779296875,61.619998931884766,61.619998931884766,882000
2024-01-24,61.83000183105469,61.900001525878906,60.91999816894531,60.939998626708984,60.939998626708984,593100
2024-01-25,61.119998931884766,61.279998779296875,60.540000915527344,61.130001068115234,61.130001068115234,563700
